avgCYCLOMATIC_COMPLEXITY,NUM_OF_CHILDREN,DEP_ON_CHILD,PERCENT_PUB_DATA,avgLOC_TOTAL,avgLOC_EXECUTABLE,COUPLING_BETWEEN_OBJECTS,avgHALSTEAD_EFFORT,DL
1.333333,0,0,0,11.0,7.791667,10,850.6883,0
2.833333,0,0,83,32.333333,24.333333,12,4205.043,0
2.5,0,0,0,27.0,18.5,4,6147.613,1
1.0,2,0,0,8.555556,3.555556,2,120.7333,0
1.0,0,0,0,1.0,0.0,0,13.80333,0
1.0,0,0,0,2.0,0.0,0,14.244,0
1.581818,0,0,19,7.309091,4.509091,10,872.0176,1
4.090909,0,0,0,20.636364,14.818182,15,17873.44,1
3.125,0,0,0,29.875,22.25,14,14039.51,0
1.444444,1,0,11,2.944444,0.333333,1,90.43111,0
2.2,0,0,0,17.9,11.7,14,1954.004,1
1.1,1,0,100,2.15,0.1,0,26.6505,0
5.25,0,0,0,58.0,40.5,15,26699.18,1
3.0,0,0,0,23.0,14.857143,15,5952.183,1
1.4,0,0,0,10.533333,5.866667,9,643.3547,1
1.0,1,0,100,2.444444,0.0,3,14.24778,0
1.272727,0,0,0,11.181818,5.909091,8,269.3245,1
1.272727,0,0,0,7.727273,5.636364,8,454.2118,0
1.166667,0,0,0,4.833333,2.0,4,113.8533,0
1.0,0,0,0,3.714286,1.857143,0,23.34,0
1.0,0,0,83,2.4,0.0,3,16.328,0
1.0,0,0,0,2.4,0.0,0,14.28,0
1.0,0,0,100,1.4,0.0,1,18.536,0
1.0,0,0,50,2.0,0.0,1,24.53,0
1.0,0,0,0,4.0,0.0,0,15.92333,0
1.0,0,0,0,3.333333,0.0,0,7.166667,0
1.0,1,0,0,1.0,0.0,0,12.0,0
1.0,0,0,0,2.5,0.5,1,19.385,0
1.0,0,0,17,1.0,0.0,1,12.0,0
1.0,0,0,0,1.0,0.0,0,0.0,0
1.0,0,0,0,1.0,0.0,0,12.0,0
1.0,0,0,0,1.0,0.0,0,0.0,0
